geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng,geolocation_customer_id,geolocation_seller_id,,,,
1037,sao paulo,SP,-23.54562128,-46.63929205,05b005e82f3f2dcc41b5504f00484e50,#N/A,,,,
1046,sao paulo,SP,-23.54608113,-46.6448203,9a02295e3381803554347ab4dc1ab41b,#N/A,,,,
1041,sao paulo,SP,-23.54439216,-46.63949931,8f1a8643c245e8b74e2e6535ca5c4e19,e5cbe890e679490127e9a390b46bbd20,,,,
1035,sao paulo,SP,-23.54157796,-46.64160722,30d149ba8c3793107e4829a8aaa4406f,1d503743d2526f03f0c2c89540ee008c,,,,
1012,sao paulo,SP,-23.5477623,-46.63536054,c5c064df6a4c428df004ad4759092dcb,#N/A,,,,
1047,sao paulo,SP,-23.54627311,-46.64122517,2c32dba7a49f14ff6c477b91e8a7fb06,#N/A,,,,
1013,sao paulo,SP,-23.54692321,-46.6342637,81ee77ee8d1e9675aa596585f370c795,#N/A,,,,
1029,sao paulo,SP,-23.54376906,-46.63427784,#N/A,#N/A,,,,
1011,sao paulo,SP,-23.54763955,-46.63603162,5a99f3ed7b721d9aa04b6f73e0abdfc7,#N/A,,,,
1032,sao paulo,SP,-23.5384181,-46.63477838,b941f36f010c46501e130569c3f7a490,#N/A,,,,
1014,sao paulo,SP,-23.54643534,-46.63383023,e674bf9e1fd5863bbb4c72f95fdba39f,#N/A,,,,
1039,sao paulo,SP,-23.54188301,-46.63991947,#N/A,2d34636518ba88f5349b732fcf8ba2e4,,,,
1024,sao paulo,SP,-23.54138952,-46.62989909,0264bbda6bd6492c79a5843f7c2e1eb4,#N/A,,,,
1009,sao paulo,SP,-23.5469354,-46.63658793,d0f3f691b729cd317bc9284b0c0c2fbc,#N/A,,,,
1020,sao paulo,SP,-23.55223547,-46.62844066,1092e3509e1abf967bdb283b72484323,#N/A,,,,
1043,sao paulo,SP,-23.54665672,-46.64078762,cd26b8d2d69af3bf6fd64e23cb6020c1,#N/A,,,,
1050,sao paulo,SP,-23.54977352,-46.64559901,d9cccfd1f0263ed3801c621a7a63b8ce,#N/A,,,,
1045,sao paulo,SP,-23.54159376,-46.64189379,1b3a2efa5be29f21adb3ffd8cdac5699,#N/A,,,,
1007,sao paulo,SP,-23.55039252,-46.63730164,6099b4a3bbcc0a01fb20ff6cab0289e3,#N/A,,,,
1005,sao paulo,SP,-23.54981909,-46.63560589,5a8b64ee6ccdae09ea823e6aa00e9517,#N/A,,,,
1017,sao paulo,SP,-23.55001091,-46.63116637,5c6f90081fa82c6502575fd32cf54c2e,#N/A,,,,
1019,sao paulo,SP,-23.55215188,-46.63080225,fb65e3e167bf3b2f7d2ba5b7a140e045,#N/A,,,,
1027,sao paulo,SP,-23.53830117,-46.63076391,e45d7222b87e8b15b377853dba5be723,#N/A,,,,
1033,sao paulo,SP,-23.5403213,-46.63639482,1db1cf9ec037c7b4d6f48b33a9cad90a,#N/A,,,,
1006,sao paulo,SP,-23.55052431,-46.63669364,fe9db57b1fe84352125989acb12d3c68,#N/A,,,,
1034,sao paulo,SP,-23.54239163,-46.63770928,#N/A,#N/A,,,,
1042,sao paulo,SP,-23.5448736,-46.64030309,a648c69b66f223371753d5bf0fbfa4ad,b6c6854d4d92a5f6f46be8869da3fa1a,,,,
1040,sao paulo,SP,-23.54031676,-46.63735537,#N/A,784ba75dd9d20200c4caed3d7a77141a,,,,
1026,sao paulo,SP,-23.5394948,-46.63284391,e414cf673d7803bcddf9263feed7c535,c1dde11f12d05c478f5de2d7319ad3b2,,,,
1036,sao paulo,SP,-23.54170002,-46.64131782,f6ad977a249563a1b6f614caa83909dc,#N/A,,,,
1048,sao paulo,SP,-23.54744892,-46.64016924,4ca9f150dfdd7257bd211c0c7c5bb752,#N/A,,,,
1002,sao paulo,SP,-23.54831798,-46.6354211,#N/A,#N/A,,,,
1031,sao paulo,SP,-23.53686412,-46.63349314,9484e4e49e1711abe997984a89cb4f1e,d594982fd877af63ace38ea1fca27c76,,,,
1022,sao paulo,SP,-23.54498661,-46.63345367,e9806f0cec46b8ea205a3ba236ff0d35,09bad886111255c5b5030314fc7f1a4a,,,,
1008,sao paulo,SP,-23.54425493,-46.63463914,50814dd40158d233103f675c340c68b1,#N/A,,,,
1010,sao paulo,SP,-23.54780696,-46.63612182,#N/A,#N/A,,,,
1003,sao paulo,SP,-23.54903245,-46.63531311,7ae2a9337aa4bc799723511faa1d6830,#N/A,,,,
1001,sao paulo,SP,-23.549292,-46.63355948,#N/A,8602a61d680a10a82cceeeda0d99ea3d,,,,
1015,sao paulo,SP,-23.54482635,-46.63086956,8197dc246c4a83cb58834c3495716dc0,#N/A,,,,
1038,sao paulo,SP,-23.54267968,-46.63819684,554ce400f275abc5439b06a3ba67a0ab,#N/A,,,,
1016,sao paulo,SP,-23.54849513,-46.63349063,de4226aa985c654b32ef83603e0cdbbb,#N/A,,,,
1049,sao paulo,SP,-23.54530659,-46.63699457,583c04eb909c371a1bb82915e0d57881,#N/A,,,,
1021,sao paulo,SP,-23.54516769,-46.63224868,b01592e974c5b73b5adc1cafc1ebb7e9,e0487761face83d64fcada2408959a36,,,,
1018,sao paulo,SP,-23.55021865,-46.63188,#N/A,#N/A,,,,
1044,sao paulo,SP,-23.54575105,-46.64132694,d829dcbbc1ddabd3a91c20b64e2ce5d8,9d39404483343dd55c7ae254494d8388,,,,
1030,sao paulo,SP,-23.5383639,-46.6329301,1ea8e45ffebf367b2f046c8b3c8ff230,#N/A,,,,
1025,sao paulo,SP,-23.53992094,-46.62834793,b45ea9acbd0aea9a6cf36bfefb9675b6,#N/A,,,,
1004,sao paulo,SP,-23.5501159,-46.63512161,a09edf8c1e842e94805a206b3d73eed5,#N/A,,,,
1023,sao paulo,SP,-23.54260296,-46.63094284,ebc03139c4eacc7f77065c3dcfd98612,f049a72cf58fd31b11f8919cade515e7,,,,
1028,sao paulo,SP,-23.53602775,-46.63287853,#N/A,#N/A,,,,
1155,sao paulo,SP,-23.52878808,-46.6644042,bc6123686b421b9084028c34499824c4,#N/A,,,,
1122,sao paulo,SP,-23.53128077,-46.63726039,cee868431579ba2636577e88ccedeba6,#N/A,,,,
1150,sao paulo,SP,-23.5322553,-46.66275607,b364374999f56fe16589dd6eeaf7f0b0,#N/A,,,,
1123,sao paulo,SP,-23.52930718,-46.63490526,2aa73498fc6fe0afcdc0804f3080ac72,f25e239052084705e17a982bc600ab2a,,,,
1139,sao paulo,SP,-23.52076038,-46.66138414,780fb7cdabcbcf7c7d94e3e4ae1fd577,1f7dfad2cb384ea4d2d7e1ffbd78c407,,,,
1153,sao paulo,SP,-23.5281187,-46.65645155,fd8a555de51282eecd0be08daf81f3f7,#N/A,,,,
1104,sao paulo,SP,-23.53521846,-46.62461223,#N/A,#N/A,,,,
1136,sao paulo,SP,-23.5235096,-46.66694417,3dfe1e8914daca38e62f48e2bd9fee62,#N/A,,,,
1130,sao paulo,SP,-23.52663823,-46.6438097,#N/A,#N/A,,,,
1103,sao paulo,SP,-23.53538865,-46.63174771,24c38fd30a0c822c183c67d3720f2c47,#N/A,,,,
1156,sao paulo,SP,-23.52982727,-46.66466606,48eea89af40f6e6691d00c5ab16a1f22,74a9b9bddf14ece02beb81f52c41a88d,,,,
1151,sao paulo,NP,-23.52778819,-46.66030962,#N/A,#N/A,,,,
1140,sao paulo,SP,-23.51793017,-46.66742959,4cd81e890532dc8cf4ee9c2667629e43,e116c7455dd26a4d8c3e92532583905f,,,,
1120,sao paulo,SP,-23.53076049,-46.63921601,65f05162299b92d62d60d74b830dcc97,#N/A,,,,
1106,sao paulo,SP,-23.53249636,-46.62640566,a2c32079da05c60d8e39eee66b12530c,#N/A,,,,
1124,sao paulo,SP,-23.52736739,-46.63188349,dd1a12426ed78bacc77fd02911ed1117,#N/A,,,,
1131,sao paulo,SP,-23.52164183,-46.64747555,128664a3f38d78795c698c380488a5dd,4ddeb3e828550cddc8d45c8bc36ab2d1,,,,
1121,sao paulo,SP,-23.52458848,-46.63439214,b9e4d8c0a644aaa42e1eff5912fe8316,#N/A,,,,
1141,sao paulo,SP,-23.5201192,-46.66584,c220ab170a166e41e97034894f1ff1e0,#N/A,,,,
1125,sao paulo,SP,-23.5290505,-46.63889432,e192295a80bc140473d53f22afc589f4,7cf4ea70955b00d6b3c22542598e2715,,,,
1102,sao paulo,SP,-23.52261022,-46.62942388,1d6f2e4efdab5db04ec1b691e00cd664,#N/A,,,,
1127,sao paulo,SP,-23.52773504,-46.64480016,2a1dbcc0c26487ca29fe53b16de930a5,f5b84683a9bf9e1df748cf40f601b39c,,,,
1137,sao paulo,SP,-23.51957274,-46.65427157,565764f24ffe1f2d7d54286cfa7b4a42,#N/A,,,,
1135,sao paulo,SP,-23.52122103,-46.65296293,3601ca87ad49d32ca2bc47dfbfad434c,#N/A,,,,
1138,sao paulo,SP,-23.51882541,-46.6556236,ccc28b057579c48422b6181c30dfe12c,#N/A,,,,
1128,sao paulo,SP,-23.52296857,-46.64174928,#N/A,#N/A,,,,
1109,sao paulo,SP,-23.52535537,-46.62754223,#N/A,#N/A,,,,
1132,sao paulo,SP,-23.5192918,-46.6498009,5e0116ac8f05deda37c92a3ab3788720,#N/A,,,,
1108,sao paulo,SP,-23.52375958,-46.63241545,5134c65c1978c45add46996351adb242,#N/A,,,,
1107,sao paulo,SP,-23.5220049,-46.63397366,9380c4d3c24f6c62c443c8da0f2f0ecf,#N/A,,,,
1154,sao paulo,SP,-23.53158118,-46.66174681,1d3bc71558bfe150123a7107517e2edb,#N/A,,,,
1152,sao paulo,SP,-23.52916893,-46.65214846,1a1aca3aea66ecc5fa26e1994aad30d6,#N/A,,,,
1134,sao paulo,SP,-23.51867681,-46.65311591,0ff52546be432c8346d431ad81c0a029,#N/A,,,,
1144,sao paulo,SP,-23.52362351,-46.6720158,ee13725bd807d030e78f60a8113d120e,#N/A,,,,
1129,sao paulo,SP,-23.52592375,-46.64213178,fb0e90cefa6143ef5234ba910b193194,52f0fe436a347ddad7ed5f9aa4e27eaa,,,,
1105,sao paulo,SP,-23.53374423,-46.63063486,e998acff98f91507e5d00ca8b10e76e2,#N/A,,,,
1126,sao paulo,SP,-23.52915073,-46.64042336,#N/A,fac1a9017ade7bdc94058fc1c969f355,,,,
1142,sao paulo,SP,-23.51993431,-46.62513002,#N/A,#N/A,,,,
1133,sao paulo,SP,-23.52259111,-46.65104901,#N/A,#N/A,,,,
1101,sao paulo,SP,-23.53371859,-46.63327836,#N/A,#N/A,,,,
1189,sao paulo,SP,-23.53210826,-46.6383947,#N/A,#N/A,,,,
1202,sao paulo,SP,-23.5302439,-46.65091042,8eb88eb1066f4e8b52dcc1b739652b9c,#N/A,,,,
1230,sao paulo,SP,-23.53273473,-46.65432445,dcb6e7bc4e65d815025d0aa14349a4ca,1354d51653f645349064725ed204e85e,,,,
1221,sao paulo,SP,-23.54601533,-46.64900196,ee2cf50cca8c6f163c99082f8ed86c1a,#N/A,,,,
1217,sao paulo,SP,-23.53384477,-46.64940664,067c9951289da2e2468121aa6e46ec91,#N/A,,,,
1243,sao paulo,SP,-23.54946978,-46.6550983,7c849322a8f5b9bbeba9c11ae26b85ea,#N/A,,,,
1203,sao paulo,SP,-23.53711938,-46.64438744,e0064e1417dc16cadb558d1c5c0db377,#N/A,,,,
1214,sao paulo,SP,-23.53569581,-46.64141314,4427125d8551590623a0e4dbbb2e25ff,5b2e94f2c22b39ccc24d34ad0f669672,,,,
1257,sao paulo,SP,-23.54507217,-46.68438058,ef48ea66fb39a13e1310b36b676e29e7,1bb2bdb95f4841f1bba2c0d2cd83d3c9,,,,
1231,sao paulo,SP,-23.53670816,-46.65964184,519006a9906e15e8141109ff81be9365,#N/A,,,,
1216,sao paulo,SP,-23.53597286,-46.651407,88bfbe93f1c2d378de7fb22d588f9661,#N/A,,,,
1226,sao paulo,SP,-23.53447857,-46.65502762,dc30f5f92dea8459e7b87805306934d7,e908c0f3646e8b60375734a350d95d71,,,,
1220,sao paulo,SP,-23.542758,-46.64547398,1be4bdc654d6c8852647215506507d72,f1198c871e0171278b63f40d112caeec,,,,
1223,sao paulo,SP,-23.54377252,-46.648273,68dc0182e4cf141c4b86924a0ba85937,7e959205cebc10adefcb331f934238a4,,,,
1213,sao paulo,SP,-23.53640028,-46.64003759,eba0792cf35e2ab2db2dcb391adb5ab4,#N/A,,,,
1227,sao paulo,SP,-23.53729012,-46.6544309,22ea9677582d0e8c4ceeaa2a306fd486,#N/A,,,,
1240,sao paulo,SP,-23.54378694,-46.65861209,6f8d2b555e7c26023c890ea54c862955,#N/A,,,,
1258,sao paulo,SP,-23.5449931,-46.68559718,e00fde757e39c319e1a52b9d1adf298b,#N/A,,,,
1222,sao paulo,SP,-23.54715958,-46.64989461,6281905dcea7ec6f9ed8baa3a8f61b21,8bd0f31cf0a614c658f6763bd02dea69,,,,
1211,sao paulo,SP,-23.53582224,-46.65160505,b14839b9d2cc09f5f25b2a74bff673b9,#N/A,,,,
1244,sao paulo,SP,-23.54499336,-46.65968022,5f235effbfef1537095b1024ab902244,7994081388d55b9cf976c050653dd359,,,,
1238,sao paulo,SP,-23.54195269,-46.65931762,89aac25164a5f84e4302a43721d0dfd9,f00f5b35d0abcacbdd863672f4bb2c1a,,,,
1204,sao paulo,SP,-23.53680115,-46.64441627,0e203af4ca880dcead36325e5e0c2ac9,#N/A,,,,
1234,sao paulo,SP,-23.5370555,-46.66361722,39f707c5c87d5f8c8e4a26ce95292a81,#N/A,,,,
1228,sao paulo,SP,-23.5483928,-46.65901834,51f11cd231668386157c2a09980fa895,#N/A,,,,
1224,sao paulo,SP,-23.54171855,-46.64883066,de27e7ae8adefd14b55e07db50c5c037,bf00385a5f7fc1ef39a13c2e9ee50a5f,,,,
1229,sao paulo,SP,-23.54108734,-46.6573392,333b7d62978a1cdcc338e2545aeea45f,#N/A,,,,
1232,sao paulo,SP,-23.53676737,-46.65507313,d87f81e4338de8176d2ba14d81164666,#N/A,,,,
1218,sao paulo,SP,-23.53154468,-46.65066867,4d92a3b7a734fdf21d16feba6dbdd95e,#N/A,,,,
1215,sao paulo,SP,-23.5379823,-46.64927618,4c8042e2e4ec74727a56afeadfa7ed68,a7b7354cc588f7566a848bcbb1ce3d96,,,,
1239,sao paulo,SP,-23.54878169,-46.65745981,db846bcd3ea0ef56effb856bd0266a90,04e38a233f726ef161074ab1c9b0399a,,,,
1205,sao paulo,SP,-23.53176047,-46.64592571,8300b253882166d54df794107d32f0bc,#N/A,,,,
1201,sao paulo,SP,-23.53435726,-46.6493563,d747bc7445e6f8c4de1bb9a4df39191c,610f72e407cdd7caaa2f8167b0163fd8,,,,
1259,sao paulo,SP,-23.54335653,-46.68394637,5a761ff24ca0a248f82d71235398e852,#N/A,,,,
1210,sao paulo,SP,-23.54086099,-46.64385528,5d13d5b488df88681ff37ffcd135b1df,e2a1ac9bf33e5549a2a4f834e70df2f8,,,,
1249,sao paulo,SP,-23.54756595,-46.66977043,#N/A,#N/A,,,,
1212,sao paulo,SP,-23.53751126,-46.63705731,#N/A,8b321bb669392f5163d04c59e235e066,,,,
1248,sao paulo,SP,-23.54730755,-46.66789155,0280ead6134bfe639866306f1f0258ab,#N/A,,,,
1233,sao paulo,SP,-23.54029947,-46.66278361,b8161d486fb5b343ce446bac70ee5496,e5a38146df062edaf55c38afa99e42dc,,,,
1219,sao paulo,SP,-23.54022357,-46.64527714,3c0c18b834b8f01bc414c2a3f4752fd1,#N/A,,,,
1235,sao paulo,SP,-23.53645972,-46.66424679,07a4bb60f62e5ce83b63a08f0cd050bc,#N/A,,,,
1209,sao paulo,SP,-23.53944676,-46.63937834,427de05ce0608c08a25593eb6e083123,1967a9e2ad6f51802b093147d861df58,,,,
1236,sao paulo,SP,-23.5416922,-46.66747263,#N/A,#N/A,,,,
1206,sao paulo,SP,-23.5355358,-46.64305203,dc837aeb1f809812f4ba96906c33a528,f3c38ab652836d21de61fb8314b69182,,,,
1207,sao paulo,SP,-23.53684062,-46.64039304,16204c2d6dfa2b5ab37b70091272a174,d6cd01c59123df02fc226eadbadb5f89,,,,
1251,sao paulo,SP,-23.54700826,-46.67399274,007182cdc3e8e2d3d4ce0b00b9004630,#N/A,,,,
1242,sao paulo,SP,-23.54752663,-46.65580327,ef1615358c72dae1c068aedc495a13f3,#N/A,,,,
1241,sao paulo,SP,-23.54567661,-46.65699347,93bdcb0a5bd6fdcaf5223c93174028ff,#N/A,,,,
1208,sao paulo,SP,-23.54082251,-46.63971471,6a65261dcad2b1ac3c5a6c25d473809e,70c4eedec9cb4a85cda2f3f9673557b4,,,,
1254,sao paulo,SP,-23.54196785,-46.68191419,d3878d302b1f3a54da025c3c593c48cc,b6f52e346160519c24a23af05410ad32,,,,
1255,sao paulo,SP,-23.54578246,-46.68119826,8ab7e3768778f94dfbd1d4511e986dfa,#N/A,,,,
1245,sao paulo,SP,-23.54929681,-46.66359455,#N/A,#N/A,,,,
1225,sao paulo,SP,-23.54064715,-46.64825178,e6ca2ee6bc5a14cf204a7e8b76a0c2cf,#N/A,,,,
1252,sao paulo,SP,-23.54173205,-46.67710842,eac7448820de7d9ad1425dc2b33568e6,#N/A,,,,
1237,sao paulo,SP,-23.54431769,-46.6698228,d4b14205ecda3b864430a215e488d3b6,#N/A,,,,
1200,sao paulo,SP,-23.53156777,-46.64986908,#N/A,#N/A,,,,
1250,sao paulo,SP,-23.54810634,-46.67255084,516183bb499f5c0a1c467cad231e5cfc,#N/A,,,,
1247,sao paulo,SP,-23.55134173,-46.66937701,#N/A,#N/A,,,,
1246,sao paulo,SP,-23.55259069,-46.66640488,132da540f9f59c2333c07b0f00d781f9,#N/A,,,,
1262,sao paulo,SP,-23.55085639,-46.67735185,#N/A,#N/A,,,,
1253,sao paulo,SP,-23.54320797,-46.6802447,7aad6c872be392c3d4170dd41b5f2e83,#N/A,,,,
1290,sao paulo,SP,-23.54096134,-46.6577487,#N/A,#N/A,,,,
1256,sao paulo,SP,-23.54856754,-46.68329305,5206bdc4d7ecb9869166f99fc635a5b1,#N/A,,,,
1303,sao paulo,SP,-23.55001133,-46.64818241,78dde783f1d86bc60a9740ff31937c39,f0ec6a2adb05c62655a26dd347b8dede,,,,
1309,sao paulo,SP,-23.55732369,-46.65692891,e6d43a7376b7de701411a48b85d1375d,5f0057b677eb963672bf05dfa3f16c34,,,,
1310,sao paulo,SP,-23.55692691,-46.66154179,3f5939e06e89efd9e9ca8ef3ab9d68c7,67883baaae6134ee81b271a542613728,,,,
1323,sao paulo,SP,-23.56360093,-46.64096892,63150e501182768887ac59b79c6b8546,#N/A,,,,
1321,sao paulo,SP,-23.55896104,-46.64089189,ee23d61fedfc4227bb0e188654c28d08,#N/A,,,,
1333,sao paulo,SP,-23.56356994,-46.65184217,da39612672f966a88588320e7dbacc0d,#N/A,,,,
1314,sao paulo,SP,-23.55027122,-46.64153043,dd22f1d0142d9698c0848674e843525c,70f7e8018e3d46c748c92f026aa2585a,,,,
1331,sao paulo,SP,-23.56232752,-46.65032774,12729283fd440bf783ab9abc2ce60385,#N/A,,,,
1307,sao paulo,SP,-23.5493607,-46.65412442,7dc0e5a1cd93b2037b5705566f784f8c,#N/A,,,,
1318,sao paulo,SP,-23.5650381,-46.64731634,74fd37fc8813d6909eaf43e1eaaa07f4,#N/A,,,,
1322,sao paulo,SP,-23.5641899,-46.64356964,f172ee35b4d9ef56e957d5e68a545e80,#N/A,,,,
