geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng
1037,sao paulo,SP,-23.54562128,-46.63929205
1046,sao paulo,SP,-23.54608113,-46.6448203
1041,sao paulo,SP,-23.54439216,-46.63949931
1035,sao paulo,SP,-23.54157796,-46.64160722
1012,sao paulo,SP,-23.5477623,-46.63536054
1047,sao paulo,SP,-23.54627311,-46.64122517
1013,sao paulo,SP,-23.54692321,-46.6342637
1029,sao paulo,SP,-23.54376906,-46.63427784
1011,sao paulo,SP,-23.54763955,-46.63603162
1032,sao paulo,SP,-23.5384181,-46.63477838
1014,sao paulo,SP,-23.54643534,-46.63383023
1039,sao paulo,SP,-23.54188301,-46.63991947
1024,sao paulo,SP,-23.54138952,-46.62989909
1009,sao paulo,SP,-23.5469354,-46.63658793
1020,sao paulo,SP,-23.55223547,-46.62844066
1043,sao paulo,SP,-23.54665672,-46.64078762
1050,sao paulo,SP,-23.54977352,-46.64559901
1045,sao paulo,SP,-23.54159376,-46.64189379
1007,sao paulo,SP,-23.55039252,-46.63730164
1005,sao paulo,SP,-23.54981909,-46.63560589
1017,sao paulo,SP,-23.55001091,-46.63116637
1019,sao paulo,SP,-23.55215188,-46.63080225
1027,sao paulo,SP,-23.53830117,-46.63076391
1033,sao paulo,SP,-23.5403213,-46.63639482
1006,sao paulo,SP,-23.55052431,-46.63669364
1034,sao paulo,SP,-23.54239163,-46.63770928
1042,sao paulo,SP,-23.5448736,-46.64030309
1040,sao paulo,SP,-23.54031676,-46.63735537
1026,sao paulo,SP,-23.5394948,-46.63284391
1036,sao paulo,SP,-23.54170002,-46.64131782
1048,sao paulo,SP,-23.54744892,-46.64016924
1002,sao paulo,SP,-23.54831798,-46.6354211
1031,sao paulo,SP,-23.53686412,-46.63349314
1022,sao paulo,SP,-23.54498661,-46.63345367
1008,sao paulo,SP,-23.54425493,-46.63463914
1010,sao paulo,SP,-23.54780696,-46.63612182
1003,sao paulo,SP,-23.54903245,-46.63531311
1001,sao paulo,SP,-23.549292,-46.63355948
1015,sao paulo,SP,-23.54482635,-46.63086956
1038,sao paulo,SP,-23.54267968,-46.63819684
1016,sao paulo,SP,-23.54849513,-46.63349063
1049,sao paulo,SP,-23.54530659,-46.63699457
1021,sao paulo,SP,-23.54516769,-46.63224868
1018,sao paulo,SP,-23.55021865,-46.63188
1044,sao paulo,SP,-23.54575105,-46.64132694
1030,sao paulo,SP,-23.5383639,-46.6329301
1025,sao paulo,SP,-23.53992094,-46.62834793
1004,sao paulo,SP,-23.5501159,-46.63512161
1023,sao paulo,SP,-23.54260296,-46.63094284
1028,sao paulo,SP,-23.53602775,-46.63287853
1155,sao paulo,SP,-23.52878808,-46.6644042
1122,sao paulo,SP,-23.53128077,-46.63726039
1150,sao paulo,SP,-23.5322553,-46.66275607
1123,sao paulo,SP,-23.52930718,-46.63490526
1139,sao paulo,SP,-23.52076038,-46.66138414
1153,sao paulo,SP,-23.5281187,-46.65645155
1104,sao paulo,SP,-23.53521846,-46.62461223
1136,sao paulo,SP,-23.5235096,-46.66694417
1130,sao paulo,SP,-23.52663823,-46.6438097
1103,sao paulo,SP,-23.53538865,-46.63174771
1156,sao paulo,SP,-23.52982727,-46.66466606
1151,sao paulo,NP,-23.52778819,-46.66030962
1140,sao paulo,SP,-23.51793017,-46.66742959
1120,sao paulo,SP,-23.53076049,-46.63921601
1106,sao paulo,SP,-23.53249636,-46.62640566
1124,sao paulo,SP,-23.52736739,-46.63188349
1131,sao paulo,SP,-23.52164183,-46.64747555
1121,sao paulo,SP,-23.52458848,-46.63439214
1141,sao paulo,SP,-23.5201192,-46.66584
1125,sao paulo,SP,-23.5290505,-46.63889432
1102,sao paulo,SP,-23.52261022,-46.62942388
1127,sao paulo,SP,-23.52773504,-46.64480016
1137,sao paulo,SP,-23.51957274,-46.65427157
1135,sao paulo,SP,-23.52122103,-46.65296293
1138,sao paulo,SP,-23.51882541,-46.6556236
1128,sao paulo,SP,-23.52296857,-46.64174928
1109,sao paulo,SP,-23.52535537,-46.62754223
1132,sao paulo,SP,-23.5192918,-46.6498009
1108,sao paulo,SP,-23.52375958,-46.63241545
1107,sao paulo,SP,-23.5220049,-46.63397366
1154,sao paulo,SP,-23.53158118,-46.66174681
1152,sao paulo,SP,-23.52916893,-46.65214846
1134,sao paulo,SP,-23.51867681,-46.65311591
1144,sao paulo,SP,-23.52362351,-46.6720158
1129,sao paulo,SP,-23.52592375,-46.64213178
1105,sao paulo,SP,-23.53374423,-46.63063486
1126,sao paulo,SP,-23.52915073,-46.64042336
1142,sao paulo,SP,-23.51993431,-46.62513002
1133,sao paulo,SP,-23.52259111,-46.65104901
1101,sao paulo,SP,-23.53371859,-46.63327836
1189,sao paulo,SP,-23.53210826,-46.6383947
1202,sao paulo,SP,-23.5302439,-46.65091042
1230,sao paulo,SP,-23.53273473,-46.65432445
1221,sao paulo,SP,-23.54601533,-46.64900196
1217,sao paulo,SP,-23.53384477,-46.64940664
1243,sao paulo,SP,-23.54946978,-46.6550983
1203,sao paulo,SP,-23.53711938,-46.64438744
1214,sao paulo,SP,-23.53569581,-46.64141314
1257,sao paulo,SP,-23.54507217,-46.68438058
1231,sao paulo,SP,-23.53670816,-46.65964184
1216,sao paulo,SP,-23.53597286,-46.651407
1226,sao paulo,SP,-23.53447857,-46.65502762
1220,sao paulo,SP,-23.542758,-46.64547398
1223,sao paulo,SP,-23.54377252,-46.648273
1213,sao paulo,SP,-23.53640028,-46.64003759
1227,sao paulo,SP,-23.53729012,-46.6544309
1240,sao paulo,SP,-23.54378694,-46.65861209
1258,sao paulo,SP,-23.5449931,-46.68559718
1222,sao paulo,SP,-23.54715958,-46.64989461
1211,sao paulo,SP,-23.53582224,-46.65160505
1244,sao paulo,SP,-23.54499336,-46.65968022
1238,sao paulo,SP,-23.54195269,-46.65931762
1204,sao paulo,SP,-23.53680115,-46.64441627
1234,sao paulo,SP,-23.5370555,-46.66361722
1228,sao paulo,SP,-23.5483928,-46.65901834
1224,sao paulo,SP,-23.54171855,-46.64883066
1229,sao paulo,SP,-23.54108734,-46.6573392
1232,sao paulo,SP,-23.53676737,-46.65507313
1218,sao paulo,SP,-23.53154468,-46.65066867
1215,sao paulo,SP,-23.5379823,-46.64927618
1239,sao paulo,SP,-23.54878169,-46.65745981
1205,sao paulo,SP,-23.53176047,-46.64592571
1201,sao paulo,SP,-23.53435726,-46.6493563
1259,sao paulo,SP,-23.54335653,-46.68394637
1210,sao paulo,SP,-23.54086099,-46.64385528
1249,sao paulo,SP,-23.54756595,-46.66977043
1212,sao paulo,SP,-23.53751126,-46.63705731
1248,sao paulo,SP,-23.54730755,-46.66789155
1233,sao paulo,SP,-23.54029947,-46.66278361
1219,sao paulo,SP,-23.54022357,-46.64527714
1235,sao paulo,SP,-23.53645972,-46.66424679
1209,sao paulo,SP,-23.53944676,-46.63937834
1236,sao paulo,SP,-23.5416922,-46.66747263
1206,sao paulo,SP,-23.5355358,-46.64305203
1207,sao paulo,SP,-23.53684062,-46.64039304
1251,sao paulo,SP,-23.54700826,-46.67399274
1242,sao paulo,SP,-23.54752663,-46.65580327
1241,sao paulo,SP,-23.54567661,-46.65699347
1208,sao paulo,SP,-23.54082251,-46.63971471
1254,sao paulo,SP,-23.54196785,-46.68191419
1255,sao paulo,SP,-23.54578246,-46.68119826
1245,sao paulo,SP,-23.54929681,-46.66359455
1225,sao paulo,SP,-23.54064715,-46.64825178
1252,sao paulo,SP,-23.54173205,-46.67710842
1237,sao paulo,SP,-23.54431769,-46.6698228
1200,sao paulo,SP,-23.53156777,-46.64986908
1250,sao paulo,SP,-23.54810634,-46.67255084
1247,sao paulo,SP,-23.55134173,-46.66937701
1246,sao paulo,SP,-23.55259069,-46.66640488
1262,sao paulo,SP,-23.55085639,-46.67735185
1253,sao paulo,SP,-23.54320797,-46.6802447
1290,sao paulo,SP,-23.54096134,-46.6577487
1256,sao paulo,SP,-23.54856754,-46.68329305
1303,sao paulo,SP,-23.55001133,-46.64818241
1309,sao paulo,SP,-23.55732369,-46.65692891
1310,sao paulo,SP,-23.55692691,-46.66154179
1323,sao paulo,SP,-23.56360093,-46.64096892
1321,sao paulo,SP,-23.55896104,-46.64089189
1333,sao paulo,SP,-23.56356994,-46.65184217
1314,sao paulo,SP,-23.55027122,-46.64153043
1331,sao paulo,SP,-23.56232752,-46.65032774
1307,sao paulo,SP,-23.5493607,-46.65412442
1318,sao paulo,SP,-23.5650381,-46.64731634
1322,sao paulo,SP,-23.5641899,-46.64356964
1308,sao paulo,SP,-23.55518251,-46.65226234
1306,sao paulo,SP,-23.5543338,-46.64967364
1301,sao paulo,SP,-23.5508128,-46.65525803
1302,sao paulo,SP,-23.54765096,-46.64357748
1312,sao paulo,SP,-23.55364601,-46.64827785
1319,sao paulo,SP,-23.55156261,-46.64021297
1316,sao paulo,SP,-23.55298158,-46.63977389
1317,sao paulo,SP,-23.56281095,-46.64538049
1313,sao paulo,SP,-23.55651329,-46.6502532
1324,sao paulo,SP,-23.55135945,-46.64339075
1327,sao paulo,SP,-23.5652193,-46.64515173
1304,sao paulo,SP,-23.55217945,-46.652992
1332,sao paulo,SP,-23.5598746,-46.65312716
1326,sao paulo,SP,-23.55890829,-46.64517208
1315,sao paulo,SP,-23.55259299,-46.64068339
1325,sao paulo,SP,-23.56040415,-46.6440907
1329,sao paulo,SP,-23.56314574,-46.6466188
1330,sao paulo,SP,-23.55681762,-46.64986084
1311,sao paulo,SP,-23.56056636,-46.65761043
1305,sao paulo,SP,-23.55608305,-46.65802268
1320,sao paulo,SP,-23.55733794,-46.63877749
1328,sao paulo,SP,-23.55542941,-46.64533779
1307,sao bernardo do campo,SP,-23.5568116,-46.65713483
1402,sao paulo,SP,-23.58406691,-46.66998067
1421,sao paulo,SP,-23.56233151,-46.66120425
1403,sao paulo,SP,-23.57034736,-46.653151
1409,sao paulo,SP,-23.56136643,-46.65759387
1411,sao paulo,SP,-23.56854685,-46.66483314
1452,sao paulo,SP,-23.56883153,-46.69199439
1423,sao paulo,SP,-23.5689182,-46.65699514
1417,sao paulo,SP,-23.48850963,-46.71460628
1408,sao paulo,SP,-23.56943871,-46.66342129
1455,sao paulo,SP,-23.5806907,-46.68751888
1401,sao paulo,SP,-23.56974757,-46.65100357
1410,sao paulo,SP,-23.55859574,-46.65657076
1453,sao paulo,SP,-23.58343566,-46.6864627
1415,sao paulo,SP,-23.55184004,-46.6545531
1416,sao paulo,SP,-23.55951039,-46.6670639
1445,sao paulo,SP,-23.56834638,-46.68910543
1424,sao paulo,SP,-23.56816236,-46.66117893
1422,sao paulo,SP,-23.55978442,-46.66607926
1419,sao paulo,SP,-23.557768,-46.66267335
1414,sao paulo,SP,-23.56362277,-46.66760382
1420,sao paulo,SP,-23.56851814,-46.65191533
1451,sao paulo,SP,-23.58348907,-46.68508055
1446,sao paulo,SP,-23.57569278,-46.67656976
1406,sao paulo,SP,-23.56582007,-46.65801074
1454,sao paulo,SP,-23.58214887,-46.68638063
1426,sao paulo,SP,-23.56259715,-46.66968808
1413,sao paulo,SP,-23.55863183,-46.66070143
1433,sao paulo,SP,-23.58188489,-46.6684868
1427,sao paulo,SP,-23.57351512,-46.66112293
1405,sao paulo,SP,-23.56696412,-46.65698271
1435,sao paulo,SP,-23.57968191,-46.66963177
1449,sao paulo,SP,-23.5762922,-46.6814231
1425,sao paulo,SP,-23.57233035,-46.66082328
1430,sao paulo,SP,-23.88162935,-46.6438188
1404,sao paulo,SP,-23.56994327,-46.6570937
1442,sao paulo,SP,-23.56370227,-46.67529086
1407,sao paulo,SP,-23.5784801,-46.67516751
